field,label,2020,2021,2022,2023,2024
revenue,Выручка (тыс. тенге),419000000,594200000,634500000,687800000,494600000
cogs,Себестоимость,319000000,446000000,474000000,516000000,373400000
gross,Валовая прибыль,100000000,148000000,160000000,172000000,121200000
opex,Операционные расходы,,,,,
ebit,Операционная прибыль (EBIT),58000000,96000000,120000000,130000000,110000000
ebitda,EBITDA,173000000,250000000,275000000,298000000,309000000
interest,Финансовые расходы,,,,,
tax,Расход по налогу,,,,,
net,Чистая прибыль,60300000,97200000,128800000,104400000,77200000
totalassets,Итого Активы,847000000,1150000000,1287000000,1483000000,1643400000
cash,Денежные средства,94000000,167100000,150000000,160000000,
ar,Дебиторская задолженность,,,,,
inventory,Запасы,,,,,
currentassets,Оборотные активы,180000000,250000000,260000000,280000000,
ppe,Основные средства,,,,,
intangibles,Нематериальные активы,,,,,
totalliab,Итого Обязательства,410000000,490000000,580000000,679300000,788600000
currentliab,Краткосрочные обязательства,120000000,160000000,180000000,218000000,
ltdebt,Долгосрочные займы,290000000,330000000,400000000,461000000,
stdebt,Краткосрочные займы,,,,,
equity,Собственный капитал,437000000,660000000,707000000,803700000,854800000
cfo,CFO операционный поток,,,,,
cfi,CFI инвестиционный поток,,,,,
cff,CFF финансовый поток,,,,,
capex,Capex капзатраты,,,,,
dividends,Дивиденды выплаченные,,,,,
